Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Mepivacaine,Epidural Drugs,Ovine,0.01,0.02,ml/kg,NULL,0,3ml maximum volume
Crystalloid,Fluids,Ovine,3,6,ml/kg/hr,IV,0,NULL
Fluid Bolus,Fluids,Ovine,15,NULL,ml,IV,0,Given over 15 minutes
Hetastarch (6%),Fluids,Ovine,2,4,ml/kg/hr,IV,0,NULL
Hypertonic Saline,Fluids,Ovine,2,4,ml/kg/hr,IV,0,NULL
5% guaifenesin - 0.1% ketamine - 0.005% xylazine),Induction Drugs,Ovine,2.2,NULL,ml/kg,IV,0,
Ketamine - Diazepam,Induction Drugs,Ovine,4.4,NULL,mg/kg,IV,0,Give simultaneously with diazepam (0.11 mg/kg)
Ketamine - Diazepam,Induction Drugs,Ovine,4.4,NULL,mg/kg,IV,0,Give simultaneously with midazolam (0.11 mg/kg)
Ketamine - Guaifenesin,Induction Drugs,Ovine,2.2,NULL,ml/kg,IV,0,"Ketamine 1 mg/ml, guaifenesin 50 mg/ml. Mixed together, give to effect"
Ketamine - Xylazine,Induction Drugs,Ovine,2.2,NULL,mg/kg,IV,0,Give 5 minutes after xylazine (0.1-0.2 mg/kg IV)
Ketamine - Xylazine,Induction Drugs,Ovine,3,5,mg/kg,IV,0,Give 5 minutes after xylazine (0.03 mg/kg IV)
Propofol (with sedatives),Induction Drugs,Ovine,2,5,mg/kg,IV,0,NULL
Propofol (without sedatives),Induction Drugs,Ovine,4,8,mg/kg,IV,0,NULL
Thiopental - Guaifenesin,Induction Drugs,Ovine,2.2,NULL,ml/kg,NULL,0,"Thiopental 2 mg/ml, Guaifenesin 50 mg/ml. Mixed together, give to effect"
Thiopental (with sedatives),Induction Drugs,Ovine,4,8,mg/kg,IV,0,NULL
Thiopental (without sedatives),Induction Drugs,Ovine,7,10,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (with sedatives),Induction Drugs,Ovine,1,2,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (without sedatives),Induction Drugs,Ovine,2.2,NULL,mg/kg,IV,0,NULL
Xylazine - Ketamine - Guaifenesin,Maintenance Drugs,Ovine,2.2,NULL,ml/kg/hr,IV,0,"Xylazine 0.05 mg/ml, Ketamine 1 mg/ml, Guaifenesin 50 mg/ml"
Flunixin,NSAIDS,Ovine,1.1,NULL,mg/kg,IV,0,q 12-24 h
Ketoprofen,NSAIDS,Ovine,3,NULL,mg/kg,IV,0,q 24 h
Butorphanol,Pain Management,Ovine,0.05,0.2,mg/kg,"IV, IM",0,q 4 h as needed
Ketamine (CRI),Pain Management,Ovine,20,40,µg/kg/min,IV,0,NULL
Lidocaine,Pain Management,Ovine,1,2,mg/kg,IV,0,Followed by 20 - 50 µg/kg/min
Lidocaine (CRI),Pain Management,Ovine,20,50,µg/kg/min,IV,0,NULL
Morphine,Pain Management,Ovine,0.05,0.1,mg/kg,"IV, IM",0,q 4-6 h
Acepromazine,Premedication,Ovine,0.02,0.06,mg/kg,"IV, IM",0,NULL
Buprenorphine,Premedication,Ovine,2,10,µg/kg,IM,0,NULL
Butorphanol,Premedication,Ovine,0.05,0.2,mg/kg,IV,0,NULL
Butorphanol (in combination with xylazine),Premedication,Ovine,0.02,NULL,mg/kg,IV,0,Causes recumbency
Detomidine,Premedication,Ovine,2,10,µg/kg,"IV, IM",0,NULL
Detomidine,Premedication,Ovine,30,NULL,µg/kg,IV,0,Causes recumbency
Detomidine (in combination),Premedication,Ovine,15,30,µg/kg,IV,0,Causes recumbency
Diazepam,Premedication,Ovine,0.05,0.1,mg/kg,IV,0,NULL
Fentanyl,Premedication,Ovine,2,5,µg/kg,IV,0,NULL
Hydromorphone,Premedication,Ovine,0.02,0.1,mg/kg,IM,0,NULL
Meperidine,Premedication,Ovine,2,5,mg/kg,"IV, IM",0,NULL
Midazolam,Premedication,Ovine,0.05,0.1,mg/kg,"IV, IM",0,NULL
Morphine,Premedication,Ovine,0.05,0.25,mg/kg,IM,0,NULL
Pentobarbital,Premedication,Ovine,1,NULL,mg/kg,IV,0,NULL
Romifidine,Premedication,Ovine,10,50,µg/kg,"IV, IM",0,High doses will cause recumbency
Xylazine,Premedication,Ovine,0.02,0.15,mg/kg,IV,0,High doses will cause recumbency
Xylazine,Premedication,Ovine,0.05,0.2,mg/kg,IM,0,High doses will cause recumbency
Xylazine (in combination with butorphanol),Premedication,Ovine,0.02,NULL,mg/kg,IV,0,Causes recumbency
