Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Propofol (without sedatives),Induction Drugs,Porcine,4,8,mg/kg,IV,0,NULL
Thiopental (with sedatives),Induction Drugs,Porcine,4,8,mg/kg,IV,0,NULL
Thiopental (without sedatives),Induction Drugs,Porcine,6,10,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (with sedatives),Induction Drugs,Porcine,1.5,2,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (without sedatives),Induction Drugs,Porcine,2.2,NULL,mg/kg,IV,0,NULL
Xylazine - Ketamine - Tiletamine - Zolazepam,Induction Drugs,Porcine,0.013,0.029,ml/kg,"IV, IM",0,Add 2.5 ml Xylazine (100 mg/ml) and 2.5 ml Ketamine (100 mg/ml) to an unopened vial of Tiletamine - Zolazepam.
Xylazine - Tiletamine - Zolazepam,Induction Drugs,Porcine,2.2,NULL,mg/kg,IV,0,Give simultaneously with xylazine (2.2 mg/kg)
Propofol,Maintenance Drugs,Porcine,0.1,0.6,mg/kg/min,IV,0,Dose varies with amount of sedation present in animal
Xylazine - Ketamine - Guaifenesin,Maintenance Drugs,Porcine,2,NULL,ml/kg/hr,IV,0,"Xylazine 1 mg/ml, Ketamine 2 mg/ml, Guaifenesin 50 mg/ml"
Carprofen,NSAIDS,Porcine,2.2,NULL,mg/kg,IM,0,q 24 h
Carprofen,NSAIDS,Porcine,2,3,mg/kg,PO,0,q 24 h
Flunixin,NSAIDS,Porcine,2.2,NULL,mg/kg,IM,0,q 12-24 h
Ketoprofen,NSAIDS,Porcine,1,3,mg/kg,"IM, PO",0,q 12-24 h
Buprenorphine,Pain Management,Porcine,5,10,ug/kg,IM,0,
Buprenorphine,Pain Management,Porcine,5,NULL,ug/kg,IV,0,
Morphine,Pain Management,Porcine,0.2,1,mg/kg,IM,0,q 4-6 h
Acepromazine,Premedication,Porcine,0.04,0.4,mg/kg,IM,0,Maximum 15 mg
Azaperone,Premedication,Porcine,1,8,mg/kg,IM,0,NULL
Butorphanol,Premedication,Porcine,0.05,0.2,mg/kg,IM,0,NULL
Fentanyl,Premedication,Porcine,2,10,µg/kg,IM,0,NULL
Midazolam,Premedication,Porcine,0.1,0.5,mg/kg,"IV, IM",0,Can also be given intranasally
Morphine,Premedication,Porcine,0.25,1,mg/kg,IM,0,NULL
Xylazine,Premedication,Porcine,1,2,mg/kg,"IV, IM",0,NULL
