Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Ketamine - Xylazine,Induction Drugs,Bovine,2.2,NULL,mg/kg,IV,0,Ketamine dose. Give five minutes after xylazine (0.1-0.2 mg/kg IV)
Ketamine - Xylazine,Induction Drugs,Bovine,3,5,mg/kg,IV,0,Ketamine dose. Give five minutes after xylazine (0.3 mg/kg IV)
Propofol (with sedatives),Induction Drugs,Bovine,2,5,mg/kg,IV,0,NULL
Propofol (without sedatives),Induction Drugs,Bovine,4,8,mg/kg,IV,0,NULL
Thiopental - Guaifenesin,Induction Drugs,Bovine,2.2,NULL,ml/kg,NULL,0,"Thiopental 2 mg/ml, Guaifenesin 50 mg/ml. Mixed together, give to effect"
Thiopental - Guaifenesin,Induction Drugs,Bovine,1.1,NULL,ml/kg,IV,0,"Thiopental 4 mg/ml, Guaifenesin 100 mg/ml. Mixed together, give to effect"
Thiopental (with sedatives),Induction Drugs,Bovine,4,8,mg/kg,IV,0,NULL
Thiopental (without sedatives),Induction Drugs,Bovine,7,10,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (with sedatives),Induction Drugs,Bovine,1,2,mg/kg,IV,0,NULL
Tiletamine - Zolazepam (without sedatives),Induction Drugs,Bovine,2.2,NULL,mg/kg,IV,0,NULL
Xylazine - Ketamine - Guaifenesin,Maintenance Drugs,Bovine,2.2,NULL,ml/kg/hr,IV,0,"Xylazine 0.05 mg/ml, Ketamine 1 mg/ml, Guaifenesin 50 mg/ml"
Flunixin,NSAIDS,Bovine,1.1,NULL,mg/kg,IV,0,q 12-24 h
Ketoprofen,NSAIDS,Bovine,3,NULL,mg/kg,IV,0,q 24 h
Butorphanol,Pain Management,Bovine,0.05,0.2,mg/kg,"IV, IM",0,q 4 h as needed
Ketamine (CRI),Pain Management,Bovine,20,40,µg/kg/min,IV,0,NULL
Lidocaine,Pain Management,Bovine,1,2,mg/kg,IV,0,Followed by 20 - 50 µg/kg/min
Lidocaine (CRI),Pain Management,Bovine,20,50,µg/kg/min,IV,0,NULL
Morphine,Pain Management,Bovine,0.05,0.1,mg/kg,"IV, IM",0,q 4-6 h
Acepromazine,Premedication,Bovine,0.02,0.06,mg/kg,"IV, IM",0,NULL
Buprenorphine,Premedication,Bovine,2,10,µg/kg,IM,0,NULL
Butorphanol,Premedication,Bovine,0.05,0.2,mg/kg,IV,0,NULL
Butorphanol (in combination with xylazine),Premedication,Bovine,0.02,NULL,mg/kg,IV,0,Causes recumbency
Detomidine,Premedication,Bovine,2,10,µg/kg,"IV, IM",0,NULL
Detomidine,Premedication,Bovine,30,NULL,µg/kg,IV,0,Causes recumbency
Detomidine (in combination),Premedication,Bovine,15,30,µg/kg,IV,0,Causes recumbency
Diazepam,Premedication,Bovine,0.05,0.1,mg/kg,IV,0,NULL
Fentanyl,Premedication,Bovine,2,5,µg/kg,IV,0,NULL
Hydromorphone,Premedication,Bovine,0.02,0.1,mg/kg,IM,0,NULL
Medetomidine,Premedication,Bovine,2,10,µg/kg,"IV, IM",0,High doses will cause recumbency
Meperidine,Premedication,Bovine,2,5,mg/kg,"IV, IM",0,NULL
Midazolam,Premedication,Bovine,0.05,0.1,mg/kg,"IV, IM",0,NULL
Morphine,Premedication,Bovine,0.05,0.25,mg/kg,IM,0,NULL
Pentobarbital,Premedication,Bovine,1,NULL,mg/kg,IV,0,NULL
Romifidine,Premedication,Bovine,10,50,µg/kg,"IV, IM",0,High doses will cause recumbency
Xylazine,Premedication,Bovine,0.02,0.1,mg/kg,IV,0,High doses will cause recumbency
Xylazine,Premedication,Bovine,0.05,0.2,mg/kg,IM,0,High doses will cause recumbency
Xylazine (in combination with butorphanol),Premedication,Bovine,0.02,NULL,mg/kg,IV,0,Causes recumbency
