Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Buprenorphine,Pain Management,Feline,5,20,µg/kg,IM,0,q 8-12 h
Butorphanol,Pain Management,Feline,0.1,0.4,mg/kg,IM,0,q 2-6 h
Carprofen,Pain Management,Feline,2,4,mg/kg,"IM, IV, SubQ",0,NULL
Fentanyl,Pain Management,Feline,1,3,µg/kg,IV,0,Loading dose
Fentanyl,Pain Management,Feline,2,4,µg/kg/hr,Transdermal,0,"Onset - 12h, Duration - 72h"
Fentanyl (CRI),Pain Management,Feline,0.03,0.4,µg/kg/min,IV,0,NULL
Hydromorphone,Pain Management,Feline,0.05,0.1,mg/kg,IM,0,q 4-6 h
Ketamine,Pain Management,Feline,0.5,NULL,mg/kg,IV,0,Loading dose
Ketamine (CRI),Pain Management,Feline,1,2,µg/kg/min,IV,0,NULL
Ketoprofen,Pain Management,Feline,2,NULL,mg/kg,"IM, IV, SubQ",0,NULL
Meloxicam,Pain Management,Feline,0.1,0.2,mg/kg,"IM, IV, SubQ",0,NULL
Meperidine,Pain Management,Feline,3,5,mg/kg,IM,0,q 1-2 h
Morphine,Pain Management,Feline,0.2,0.5,mg/kg,IM,0,q 4-6 h
Oxymorphone,Pain Management,Feline,0.02,0.1,mg/kg,IM,0,q 4-6 h
Acepromazine,Premedication,Feline,0.1,0.2,mg/kg,IM,0,NULL
Acepromazine (in combination),Premedication,Feline,0.05,0.1,mg/kg,IM,0,NULL
Buprenorphine,Premedication,Feline,6,10,µg/kg,IM,0,NULL
Butorphanol,Premedication,Feline,0.2,0.8,mg/kg,IM,0,NULL
Dexmedetomidine,Premedication,Feline,10,20,µg/kg,IM,0,NULL
Dexmedetomidine (in combination),Premedication,Feline,5,10,µg/kg,IM,0,NULL
Fentanyl,Premedication,Feline,2,10,µg/kg,IM,0,NULL
Hydromorphone,Premedication,Feline,0.03,0.05,mg/kg,IM,0,NULL
Ketamine (in combination),Premedication,Feline,3,10,mg/kg,"IV, IM",0,NULL
Medetomidine,Premedication,Feline,20,40,µg/kg,"IV, IM",0,NULL
Medetomidine (in combination),Premedication,Feline,10,20,µg/kg,IM,0,NULL
Meperidine,Premedication,Feline,3,5,mg/kg,IM,0,NULL
Methadone,Premedication,Feline,0.1,0.3,mg/kg,"IM,IV",0,NULL
Midazolam,Premedication,Feline,0.2,0.4,mg/kg,IM,0,NULL
Morphine,Premedication,Feline,0.1,0.3,mg/kg,IM,0,NULL
Oxymorphone,Premedication,Feline,0.05,0.1,mg/kg,IM,0,NULL
Tiletamine - Zolazepam,Premedication,Feline,3,5,mg/kg,IM,0,NULL
Acepromazine,Recovery Drugs,Feline,0.01,NULL,mg/kg,IV,0,If dysphoric
Dexmedetomidine,Recovery Drugs,Feline,2,3,µg/kg,IV,0,If dysphoric
Hydromorphone,Recovery Drugs,Feline,0.02,0.03,mg/kg,IV,0,If painful
Medetomidine,Recovery Drugs,Feline,4,6,µg/kg,IV,0,If dysphoric
Diazepam,"Supplements to propofol, thiopental and etomidate",Feline,0.2,NULL,mg/kg     ,IV,0,
Midazolam,"Supplements to propofol, thiopental and etomidate",Feline,0.2,NULL,mg/kg     ,IV,0,
